"name","type","domainmin","domainmax","datastep","minincluded","maxincluded","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"Sex","nominal",,,,,,"Female","Male",,,,,,,,,
"AgeGroup","nominal",,,,,,"18-30","31-40","41-50","51-60","61-70","71-80","81-95",,,,
"MaritalStatus","nominal",,,,,,"Divorced","Married","Unmarried","Widowed",,,,,,,
"Education","nominal",,,,,,"10-12 years",">12 years","≤9 years",,,,,,,,
"DepressionType","nominal",,,,,,"Bipolar","Unipolar",,,,,,,,,
"PsychoticFeatures","nominal",,,,,,"0","1",,,,,,,,,
"SubstanceUse","nominal",,,,,,"0","1",,,,,,,,,
"PersonalityDisorder","nominal",,,,,,"0","1",,,,,,,,,
"AnxietyDisorder","nominal",,,,,,"0","1",,,,,,,,,
"InitialSetting","nominal",,,,,,"Inpatient","Outpatient",,,,,,,,,
"Coercion","nominal",,,,,,"Involuntary","Voluntary",,,,,,,,,
"AntidepressantBeforeECT","nominal",,,,,,"0-3 months and 3-6 and 6-9","0-3 months and 3-6, not 6-9","0-3 months, not 3-6","Never","Not 0-3 months before ECT",,,,,,
"Lithium","nominal",,,,,,"0","1",,,,,,,,,
"Lamotrigine","nominal",,,,,,"0","1",,,,,,,,,
"Valproate","nominal",,,,,,"0","1",,,,,,,,,
"Remission","nominal",,,,,,"0","1",,,,,,,,,
